"image.src","image.text","name.href","name.text","index","url"
"http://static.rada.gov.ua/dep_img7/d219_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/1393/8","Бондаренко Володимир Дмитрович","43","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg47.jpg","","http://itd.rada.gov.ua/mps/info/expage/8729/8","Бондаренко Олена Анатоліївна","44","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but45.jpg","","http://itd.rada.gov.ua/mps/info/expage/11153/8","Бондарєв Костянтин Анатолійович","45","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/sv27.jpg","","http://itd.rada.gov.ua/mps/info/expage/17391/8","Бондарчук Олег Володимирович","46","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu32.jpg","","http://itd.rada.gov.ua/mps/info/expage/9627/8","Борита Ольга Василівна","47","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d56_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/8731/8","Борт Віталій Петрович","48","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d48_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15748/8","Боярський Юрій Іванович","49","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d7_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15724/8","Брайко Сергій Борисович","50","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d217_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15838/8","Бригинець Олександр Михайлович","51","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d130_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15796/8","Бриченко Ігор Віталійович","52","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d145_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15802/8","Бублик Юрій Васильович","53","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu22.jpg","","http://itd.rada.gov.ua/mps/info/expage/15696/8","Бабич Вікторія Володимирівна","54","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/but43.jpg","","http://itd.rada.gov.ua/mps/info/expage/15655/8","Бурбак Максим Юрійович","55","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d190_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/1352/8","Буряк Сергій Васильович","56","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d29_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15739/8","Бутківський Віктор Володимирович","57","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/kpu15.jpg","","http://itd.rada.gov.ua/mps/info/expage/15692/8","Буховець Олег Юлійович","58","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d73_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15758/8","Бушко Іван Іванович","59","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/ud30.jpg","","http://itd.rada.gov.ua/mps/info/expage/15683/8","Ванзуряк Роман Степанович","60","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg36.jpg","","http://itd.rada.gov.ua/mps/info/expage/5479/8","Васадзе Таріел Шакрович","61","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg54.jpg","","http://itd.rada.gov.ua/mps/info/expage/954/8","Васильєв Геннадій Андрійович","62","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d59_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/7193/8","Васильєв Олександр Андрійович","63","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/d117_1.jpg","","http://itd.rada.gov.ua/mps/info/expage/15787/8","Васюник Ігор Васильович","64","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg45.jpg","","http://itd.rada.gov.ua/mps/info/expage/815/8","Ващук Катерина Тимофіївна","65","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg46.jpg","","http://itd.rada.gov.ua/mps/info/expage/5563/8","Веревський Андрій Михайлович","66","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/reg31.jpg","","http://itd.rada.gov.ua/mps/info/expage/8735/8","Вечерко Володимир Миколайович","67","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
"http://static.rada.gov.ua/dep_img7/sv6.jpg","","http://itd.rada.gov.ua/mps/info/expage/15702/8","Вітів Анатолій Миколайович","68","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=8"
