Ківалов Сергій Васильович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9A%D0%B8%D1%80%D0%B8%D0%BB%D0%B5%D0%BD%D0%BA%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Дейч Борис Давидович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D1%96%D1%81%D0%BE%D0%B2%D0%B0_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%D0%9B%D0%B5%D0%BE%D0%BD%D1%82%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Костусєв Олексій Олексійович	Партія регіонів		23.11.2007	21.05.2010	https://uk.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D1%82%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE_%D0%86%D0%B2%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Піскун Святослав Михайлович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9F%D0%B0%D1%88%D0%B8%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Савчук Олександр Володимирович	Партія регіонів		23.11.2007	06.12.2012	https://uk.wikipedia.org/wiki/%D0%9F%D0%B8%D1%81%D0%B0%D1%80%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Білий Олексій Петрович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A8%D0%B8%D1%88%D0%BA%D1%96%D0%BD%D0%B0_%D0%95%D0%BB%D1%96%D0%BD%D0%B0_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D1%96%D0%B2%D0%BD%D0%B0
Табачник Дмитро Володимирович	Партія регіонів		23.11.2007	11.03.2010	https://uk.wikipedia.org/wiki/%D0%9C%D0%B0%D0%BA%D1%96%D1%94%D0%BD%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Кисельов Василь Олексійович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9A%D1%80%D1%83%D0%BA_%D0%AE%D1%80%D1%96%D0%B9_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87
Петров Борис Федорович	Партія регіонів		23.11.2007	16.04.2010	https://uk.wikipedia.org/wiki/%D0%A0%D0%B8%D0%B1%D0%B0%D0%BA%D0%BE%D0%B2_%D0%86%D0%B3%D0%BE%D1%80_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Горбаль Василь Михайлович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%AF%D1%86%D0%B5%D0%BD%D0%BA%D0%BE_%D0%90%D0%BD%D1%82%D0%BE%D0%BD_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Клімов Леонід Михайлович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A8%D0%B0%D0%B3%D0%BE_%D0%84%D0%B2%D0%B3%D0%B5%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Круглов Микола Петрович	Партія регіонів		23.11.2007	16.04.2010	https://uk.wikipedia.org/wiki/%D0%A1%D0%B5%D1%80%D0%B1%D1%96%D0%BD_%D0%AE%D1%80%D1%96%D0%B9_%D0%A1%D0%B5%D1%80%D0%B3%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Сафіуллін Равіль Сафович	Партія регіонів		23.11.2007	11.03.2010	https://uk.wikipedia.org/wiki/%D0%A8%D0%B8%D1%88%D0%BA%D1%96%D0%BD%D0%B0_%D0%97%D0%BE%D1%8F_%D0%9B%D0%B5%D0%BE%D0%BD%D1%96%D0%B4%D1%96%D0%B2%D0%BD%D0%B0
Кузьмук Олександр Іванович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A7%D1%83%D0%B4%D0%BD%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%B3%D0%BE%D0%B2%D0%B8%D1%87
Волков Олександр Анатолійович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A2%D1%80%D0%B8%D0%BD%D0%B4%D1%8E%D0%BA_%D0%AE%D1%80%D1%96%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Прасолов Ігор Миколайович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%B4%D0%BD%D0%B0%D1%80_%D0%9E%D0%BB%D1%8C%D0%B3%D0%B0_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D1%96%D0%B2%D0%BD%D0%B0
Пеклушенко Олександр Миколайович	Партія регіонів		23.11.2007	23.04.2012	https://uk.wikipedia.org/wiki/%D0%9E%D0%BB%D1%96%D0%B9%D0%BD%D0%B8%D0%BA_%D0%A1%D0%B2%D1%8F%D1%82%D0%BE%D1%81%D0%BB%D0%B0%D0%B2_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
Льовочкін Сергій Володимирович	Партія регіонів		23.11.2007	12.03.2010	https://uk.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BF%D0%B8%D0%BD%D0%BE%D0%B3%D0%B0_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%9C%D0%B8%D1%85%D0%B0%D0%B9%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Макеєнко Володимир Володимирович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9B%D0%B0%D0%B1%D1%83%D0%BD%D1%81%D1%8C%D0%BA%D0%B0_%D0%90%D0%BD%D0%B6%D0%B5%D0%BB%D1%96%D0%BA%D0%B0_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D1%96%D0%B2%D0%BD%D0%B0
Герман Ганна Миколаївна	Партія регіонів		23.11.2007	12.03.2010	https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%BD%D0%B4%D0%B0%D1%80%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BD%D0%B0_%D0%A4%D0%B5%D0%B4%D0%BE%D1%80%D1%96%D0%B2%D0%BD%D0%B0
Бойко Юрій Анатолійович	Партія регіонів		23.11.2007	11.03.2010	https://uk.wikipedia.org/wiki/%D0%84%D1%80%D0%B5%D1%81%D1%8C%D0%BA%D0%BE_%D0%86%D0%B3%D0%BE%D1%80_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Павленко Едуард Іванович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9F%D0%BE%D0%BB%D1%83%D0%BD%D1%94%D1%94%D0%B2_%D0%AE%D1%80%D1%96%D0%B9_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Гуменюк Ігор Миколайович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A8%D0%B0%D0%BC%D0%B0%D0%BD%D0%BE%D0%B2_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Колоцей Юрій Олександрович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%97%D0%BE%D0%B7%D1%83%D0%BB%D1%8F_%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Кінах Анатолій Кирилович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A8%D1%83%D1%81%D1%82%D1%96%D0%BA_%D0%9E%D0%BB%D0%B5%D0%BD%D0%B0_%D0%AE%D1%80%D1%96%D1%97%D0%B2%D0%BD%D0%B0
Лєщинський Олександр Олегович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A8%D0%B5%D0%B2%D1%87%D1%83%D0%BA_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%91%D0%BE%D1%80%D0%B8%D1%81%D0%BE%D0%B2%D0%B8%D1%87
Прутнік Едуард Анатолійович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9B%D0%BE%D0%B7%D1%96%D0%BD%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%92%D1%96%D0%BA%D1%82%D0%BE%D1%80_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Джига Микола Васильович	Партія регіонів		23.11.2007	04.02.2011	https://uk.wikipedia.org/wiki/%D0%9A%D1%83%D0%B7%D1%8C%D0%BC%D0%B5%D0%BD%D0%BA%D0%BE_%D0%9F%D0%B5%D1%82%D1%80%D0%BE_%D0%9F%D0%B0%D0%B2%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Момот Сергій Васильович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%91%D1%83%D0%B4%D0%B6%D0%B5%D1%80%D0%B0%D0%BA_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Самойленко Юрій Павлович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9A%D0%B0%D0%BC%D1%87%D0%B0%D1%82%D0%BD%D0%B8%D0%B9_%D0%92%D0%B0%D0%BB%D0%B5%D1%80%D1%96%D0%B9_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Вілкул Олександр Юрійович	Партія регіонів		23.11.2007	16.04.2010	https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%BD%D0%B4%D0%B0%D1%80%D0%B5%D0%BD%D0%BA%D0%BE_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Бевзенко Валерій Федорович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9B%D1%83%D0%BA%D0%B0%D1%88%D1%83%D0%BA_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Корж Павло Петрович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%9F%D1%94%D1%80%D1%94%D0%B4%D1%94%D1%80%D1%96%D0%B9_%D0%92%27%D1%8F%D1%87%D0%B5%D1%81%D0%BB%D0%B0%D0%B2_%D0%93%D1%80%D0%B8%D0%B3%D0%BE%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Клюєв Сергій Петрович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%92%D0%B5%D1%82%D0%B2%D0%B8%D1%86%D1%8C%D0%BA%D0%B8%D0%B9_%D0%94%D0%BC%D0%B8%D1%82%D1%80%D0%BE_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Акімова Ірина Михайлівна	Партія регіонів		23.11.2007	12.03.2010	https://uk.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B4%D0%BA%D0%BE%D0%B2%D1%81%D1%8C%D0%BA%D0%B8%D0%B9_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%92%D0%BE%D0%BB%D0%BE%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Малишев Володимир Степанович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%94%D0%B0%D0%BD%D1%96%D0%BB%D0%BE%D0%B2_%D0%92%D1%96%D1%82%D0%B0%D0%BB%D1%96%D0%B9_%D0%91%D0%BE%D0%B3%D0%B4%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Ларін Сергій Миколайович	Партія регіонів		23.11.2007	21.05.2010	https://uk.wikipedia.org/wiki/%D0%90%D1%80%D1%83%D1%82%D1%8E%D0%BD%D0%BE%D0%B2_%D0%93%D0%B0%D1%80%D0%B5%D0%B3%D1%96%D0%BD_%D0%A0%D0%B0%D1%84%D0%B0%D0%B5%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Мальцев Володимир Олександрович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%A0%D0%B0%D0%B4%D0%BE%D0%B2%D0%B5%D1%86%D1%8C_%D0%90%D1%80%D0%BD%D0%BE%D0%BB%D1%8C%D0%B4_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Лавринович Олександр Володимирович	Партія регіонів		23.11.2007	11.03.2010	https://uk.wikipedia.org/wiki/%D0%93%D0%BB%D1%83%D1%81%D1%8C_%D0%A1%D1%82%D0%B5%D0%BF%D0%B0%D0%BD_%D0%9A%D0%B0%D1%80%D0%BB%D0%BE%D0%B2%D0%B8%D1%87
Сухий Ярослав Михайлович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%91%D0%B0%D0%B1%D0%B0%D1%94%D0%B2_%D0%9E%D0%BB%D0%B5%D0%B3_%D0%9C%D0%B5%D0%B9%D0%B4%D0%B0%D0%BD%D0%BE%D0%B2%D0%B8%D1%87
Кий Сергій Вікторович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%93%D0%BD%D0%B0%D1%82%D0%BA%D0%B5%D0%B2%D0%B8%D1%87_%D0%AE%D1%80%D1%96%D0%B9_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
Коржев Анатолій Леонідович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%97%D0%B0%D0%B4%D0%B8%D1%80%D0%BA%D0%BE_%D0%93%D0%B5%D0%BD%D0%BD%D0%B0%D0%B4%D1%96%D0%B9_%D0%9E%D0%BB%D0%B5%D0%BA%D1%81%D0%B0%D0%BD%D0%B4%D1%80%D0%BE%D0%B2%D0%B8%D1%87
Аркаллаєв Нуруліслам Гаджиєвич	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%91%D1%96%D1%80%D1%8E%D0%BA_%D0%9B%D0%B5%D0%B2_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
Ярощук Володимир Іванович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%91%D0%BE%D0%BD%D0%B4%D0%B0%D1%80%D1%94%D0%B2_%D0%9A%D0%BE%D1%81%D1%82%D1%8F%D0%BD%D1%82%D0%B8%D0%BD_%D0%90%D0%BD%D0%B0%D1%82%D0%BE%D0%BB%D1%96%D0%B9%D0%BE%D0%B2%D0%B8%D1%87
Васильєв Олександр Андрійович	Партія регіонів		23.11.2007	12.12.2012	https://uk.wikipedia.org/wiki/%D0%94%D0%B5%D0%BD%D1%8C%D0%BA%D0%BE%D0%B2%D0%B8%D1%87_%D0%86%D0%B2%D0%B0%D0%BD_%D0%92%D0%B0%D1%81%D0%B8%D0%BB%D1%8C%D0%BE%D0%B2%D0%B8%D1%87
