"name.href","name.text","image.src","image.text","index","url"
"http://itd.rada.gov.ua/mps/info/page/17995","Грановський Олександр Михайлович","http://static.rada.gov.ua/dep_img8/bp58.jpg","","83","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15646","Гриневич Лілія Михайлівна","http://static.rada.gov.ua/dep_img8/nf9.jpg","","84","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/5414","Гринів Ігор Олексійович","http://static.rada.gov.ua/dep_img8/bp14.jpg","","85","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17973","Гройсман Володимир Борисович","http://static.rada.gov.ua/dep_img8/bp4.jpg","","86","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18077","Гудзенко Віталій Іванович","http://static.rada.gov.ua/dep_img8/d92_1.jpg","","87","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/14674","Гузь Ігор Володимирович","http://static.rada.gov.ua/dep_img8/d19_1.jpg","","88","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18078","Гуляєв Василь Олександрович","http://static.rada.gov.ua/dep_img8/d140_1.jpg","","89","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18036","Гусак Володимир Георгійович","http://static.rada.gov.ua/dep_img8/ob15.jpg","","90","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18079","Давиденко Валерій Миколайович","http://static.rada.gov.ua/dep_img8/d208_1.jpg","","91","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18009","Данченко Олександр Іванович","http://static.rada.gov.ua/dep_img8/sp10.jpg","","92","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17956","Дейдей Євген Сергійович","http://static.rada.gov.ua/dep_img8/nf32.jpg","","93","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18080","Демчак Руслан Євгенійович","http://static.rada.gov.ua/dep_img8/d18_1.jpg","","94","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/15815","Денисенко Анатолій Петрович","http://static.rada.gov.ua/dep_img8/d173_1.jpg","","95","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/18081","Денисенко Андрій Сергійович","http://static.rada.gov.ua/dep_img8/d26_1.jpg","","96","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/17986","Денисенко Вадим Ігорович","http://static.rada.gov.ua/dep_img8/bp45.jpg","","97","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
"http://itd.rada.gov.ua/mps/info/page/8757","Денісова Людмила Леонтіївна","http://static.rada.gov.ua/dep_img8/nf15.jpg","","98","http://w1.c1.rada.gov.ua/pls/site2/fetch_mps?skl_id=9"
